ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2010-06-06T00:00:00.000000000Z,35,1,6640,1064.000000000,1065.500000000,1056.500000000,1061.250000000,35980,ESM0
2010-06-06T00:00:00.000000000Z,35,1,3076,1054.250000000,1054.250000000,1047.750000000,1047.750000000,7,ESZ0
2010-06-06T00:00:00.000000000Z,35,1,601385,-4.300000000,-4.250000000,-4.300000000,-4.300000000,18,ESM0-ESU0
2010-06-06T00:00:00.000000000Z,35,1,26714,1059.500000000,1060.500000000,1052.500000000,1057.000000000,528,ESU0
2010-06-07T00:00:00.000000000Z,35,1,602015,-8.650000000,-8.650000000,-8.650000000,-8.650000000,122,ESM0-ESZ0
2010-06-07T00:00:00.000000000Z,35,1,601385,-4.300000000,-4.250000000,-4.350000000,-4.250000000,62219,ESM0-ESU0
2010-06-07T00:00:00.000000000Z,35,1,6640,1061.250000000,1070.750000000,1047.000000000,1051.500000000,2317993,ESM0
2010-06-07T00:00:00.000000000Z,35,1,26714,1057.500000000,1066.500000000,1043.250000000,1047.250000000,26306,ESU0
2010-06-07T00:00:00.000000000Z,35,1,70248,1048.250000000,1048.250000000,1037.250000000,1037.250000000,3,ESH1
2010-06-07T00:00:00.000000000Z,35,1,3076,1048.250000000,1060.500000000,1040.000000000,1041.250000000,68,ESZ0
2010-06-08T00:00:00.000000000Z,35,1,602010,-4.300000000,-4.300000000,-4.500000000,-4.350000000,8,ESU0-ESZ0
2010-06-08T00:00:00.000000000Z,35,1,26714,1047.250000000,1059.000000000,1037.000000000,1054.500000000,50094,ESU0
2010-06-08T00:00:00.000000000Z,35,1,3076,1044.250000000,1051.750000000,1038.250000000,1051.750000000,43,ESZ0
2010-06-08T00:00:00.000000000Z,35,1,601385,-4.300000000,-4.250000000,-4.300000000,-4.300000000,86598,ESM0-ESU0
2010-06-08T00:00:00.000000000Z,35,1,6640,1051.500000000,1063.250000000,1041.250000000,1058.750000000,3307153,ESM0
2010-06-08T00:00:00.000000000Z,35,1,602015,-8.950000000,-8.650000000,-8.950000000,-8.650000000,4,ESM0-ESZ0
2010-06-09T00:00:00.000000000Z,35,1,601385,-4.300000000,-4.250000000,-4.400000000,-4.350000000,293641,ESM0-ESU0
2010-06-09T00:00:00.000000000Z,35,1,70248,1052.000000000,1055.000000000,1043.500000000,1043.500000000,16,ESH1
2010-06-09T00:00:00.000000000Z,35,1,26714,1054.500000000,1073.000000000,1047.250000000,1050.750000000,85460,ESU0
2010-06-09T00:00:00.000000000Z,35,1,6640,1058.750000000,1077.750000000,1051.250000000,1055.250000000,2691352,ESM0
2010-06-09T00:00:00.000000000Z,35,1,602010,-4.350000000,-4.350000000,-4.450000000,-4.450000000,12,ESU0-ESZ0
2010-06-09T00:00:00.000000000Z,35,1,3076,1048.250000000,1065.000000000,1044.500000000,1044.500000000,62,ESZ0
2010-06-10T00:00:00.000000000Z,35,1,3076,1052.750000000,1078.500000000,1050.500000000,1077.500000000,35,ESZ0
2010-06-10T00:00:00.000000000Z,35,1,70248,1060.750000000,1063.750000000,1060.750000000,1063.750000000,2,ESH1
2010-06-10T00:00:00.000000000Z,35,1,601385,-4.350000000,-4.250000000,-4.350000000,-4.250000000,611501,ESM0-ESU0
2010-06-10T00:00:00.000000000Z,35,1,26714,1050.750000000,1083.500000000,1048.000000000,1080.500000000,1330488,ESU0
2010-06-10T00:00:00.000000000Z,35,1,6640,1055.250000000,1087.750000000,1052.500000000,1084.500000000,1798787,ESM0
2010-06-10T00:00:00.000000000Z,35,1,602010,-4.500000000,-4.400000000,-4.500000000,-4.400000000,5,ESU0-ESZ0
2010-06-10T00:00:00.000000000Z,35,1,602015,-8.900000000,-8.900000000,-8.900000000,-8.900000000,1,ESM0-ESZ0
2010-06-11T00:00:00.000000000Z,35,1,602010,-4.500000000,-4.400000000,-4.500000000,-4.400000000,18,ESU0-ESZ0
2010-06-11T00:00:00.000000000Z,35,1,601385,-4.250000000,-4.200000000,-4.300000000,-4.250000000,426739,ESM0-ESU0
2010-06-11T00:00:00.000000000Z,35,1,3076,1073.500000000,1082.250000000,1066.500000000,1081.500000000,30,ESZ0
2010-06-11T00:00:00.000000000Z,35,1,26714,1080.500000000,1088.250000000,1070.250000000,1085.000000000,1779845,ESU0
2010-06-11T00:00:00.000000000Z,35,1,602015,-8.650000000,-8.650000000,-8.650000000,-8.650000000,70,ESM0-ESZ0
2010-06-11T00:00:00.000000000Z,35,1,70248,1071.000000000,1071.000000000,1068.250000000,1068.250000000,2,ESH1
2010-06-11T00:00:00.000000000Z,35,1,6640,1084.750000000,1092.250000000,1074.500000000,1089.500000000,716356,ESM0
2010-06-13T00:00:00.000000000Z,35,1,601385,-4.250000000,-4.200000000,-4.250000000,-4.250000000,42,ESM0-ESU0
2010-06-13T00:00:00.000000000Z,35,1,26714,1087.500000000,1091.500000000,1085.750000000,1090.750000000,12699,ESU0
2010-06-13T00:00:00.000000000Z,35,1,6640,1090.500000000,1095.500000000,1089.750000000,1095.250000000,5518,ESM0
2010-06-13T00:00:00.000000000Z,35,1,3076,1084.500000000,1086.000000000,1084.500000000,1085.750000000,16,ESZ0
2010-06-13T00:00:00.000000000Z,35,1,602010,-4.500000000,-4.500000000,-4.500000000,-4.500000000,10,ESU0-ESZ0
2010-06-14T00:00:00.000000000Z,35,1,26714,1091.000000000,1101.750000000,1084.250000000,1085.750000000,1924270,ESU0
2010-06-14T00:00:00.000000000Z,35,1,602015,-8.500000000,-8.500000000,-8.850000000,-8.650000000,15,ESM0-ESZ0
2010-06-14T00:00:00.000000000Z,35,1,3076,1084.500000000,1097.000000000,1080.500000000,1082.000000000,223,ESZ0
2010-06-14T00:00:00.000000000Z,35,1,70248,1086.000000000,1086.000000000,1086.000000000,1086.000000000,1,ESH1
2010-06-14T00:00:00.000000000Z,35,1,601385,-4.250000000,-4.200000000,-4.350000000,-4.300000000,485699,ESM0-ESU0
2010-06-14T00:00:00.000000000Z,35,1,6640,1094.750000000,1106.000000000,1088.750000000,1090.000000000,399393,ESM0
2010-06-14T00:00:00.000000000Z,35,1,602010,-4.450000000,-4.400000000,-4.550000000,-4.450000000,1021,ESU0-ESZ0
2010-06-15T00:00:00.000000000Z,35,1,602010,-4.450000000,-4.350000000,-4.450000000,-4.350000000,110,ESU0-ESZ0
2010-06-15T00:00:00.000000000Z,35,1,26714,1085.750000000,1111.500000000,1084.250000000,1107.250000000,2237867,ESU0
2010-06-15T00:00:00.000000000Z,35,1,3076,1082.500000000,1107.250000000,1080.000000000,1103.500000000,54,ESZ0
2010-06-15T00:00:00.000000000Z,35,1,6640,1090.000000000,1115.750000000,1088.500000000,1111.500000000,333698,ESM0
2010-06-15T00:00:00.000000000Z,35,1,601385,-4.300000000,-4.250000000,-4.350000000,-4.300000000,463735,ESM0-ESU0
2010-06-16T00:00:00.000000000Z,35,1,602015,-8.500000000,-8.500000000,-8.750000000,-8.600000000,17,ESM0-ESZ0
2010-06-16T00:00:00.000000000Z,35,1,601385,-4.300000000,-4.250000000,-4.350000000,-4.350000000,373551,ESM0-ESU0
2010-06-16T00:00:00.000000000Z,35,1,6640,1111.250000000,1119.000000000,1104.250000000,1110.750000000,213469,ESM0
2010-06-16T00:00:00.000000000Z,35,1,26714,1107.250000000,1114.750000000,1100.000000000,1106.500000000,2148047,ESU0
2010-06-16T00:00:00.000000000Z,35,1,602010,-4.300000000,-4.300000000,-4.300000000,-4.300000000,6,ESU0-ESZ0
2010-06-16T00:00:00.000000000Z,35,1,3076,1102.250000000,1110.000000000,1098.000000000,1102.500000000,112,ESZ0
2010-06-16T00:00:00.000000000Z,35,1,70248,1093.000000000,1100.000000000,1093.000000000,1100.000000000,3,ESH1
2010-06-17T00:00:00.000000000Z,35,1,602010,-4.150000000,-4.150000000,-4.450000000,-4.400000000,216,ESU0-ESZ0
2010-06-17T00:00:00.000000000Z,35,1,602015,-9.000000000,-9.000000000,-9.150000000,-9.150000000,132,ESM0-ESZ0
2010-06-17T00:00:00.000000000Z,35,1,601385,-4.300000000,-4.300000000,-4.650000000,-4.600000000,303031,ESM0-ESU0
2010-06-17T00:00:00.000000000Z,35,1,26714,1106.500000000,1117.500000000,1100.750000000,1110.750000000,2415952,ESU0
2010-06-17T00:00:00.000000000Z,35,1,3076,1102.000000000,1111.250000000,1097.000000000,1107.250000000,158,ESZ0
2010-06-17T00:00:00.000000000Z,35,1,692852,-7.900000000,-7.750000000,-8.150000000,-8.150000000,3,ESU0-ESH1
2010-06-17T00:00:00.000000000Z,35,1,6640,1111.000000000,1122.500000000,1105.500000000,1115.500000000,177800,ESM0
2010-06-17T00:00:00.000000000Z,35,1,70248,1104.750000000,1104.750000000,1094.000000000,1097.250000000,12,ESH1
2010-06-18T00:00:00.000000000Z,35,1,26714,1110.500000000,1116.750000000,1108.250000000,1110.250000000,1584409,ESU0
2010-06-18T00:00:00.000000000Z,35,1,70248,1102.750000000,1103.500000000,1102.750000000,1103.500000000,3,ESH1
2010-06-18T00:00:00.000000000Z,35,1,601385,-4.600000000,-4.400000000,-5.300000000,-5.300000000,23278,ESM0-ESU0
2010-06-18T00:00:00.000000000Z,35,1,3076,1105.500000000,1111.750000000,1104.500000000,1105.000000000,143,ESZ0
2010-06-18T00:00:00.000000000Z,35,1,6640,1115.500000000,1119.000000000,1113.000000000,1118.750000000,21665,ESM0
2010-06-18T00:00:00.000000000Z,35,1,602010,-4.400000000,-4.300000000,-4.500000000,-4.400000000,64,ESU0-ESZ0
2010-06-20T00:00:00.000000000Z,35,1,3076,1115.000000000,1120.000000000,1115.000000000,1119.500000000,87,ESZ0
2010-06-20T00:00:00.000000000Z,35,1,602010,-4.050000000,-4.050000000,-4.050000000,-4.050000000,1,ESU0-ESZ0
2010-06-20T00:00:00.000000000Z,35,1,70248,1112.750000000,1112.750000000,1112.750000000,1112.750000000,6,ESH1
2010-06-20T00:00:00.000000000Z,35,1,26714,1116.000000000,1127.500000000,1115.500000000,1124.250000000,33521,ESU0
2010-06-21T00:00:00.000000000Z,35,1,70248,1108.750000000,1108.750000000,1108.750000000,1108.750000000,1,ESH1
2010-06-21T00:00:00.000000000Z,35,1,3076,1120.500000000,1124.500000000,1100.000000000,1106.750000000,352,ESZ0
2010-06-21T00:00:00.000000000Z,35,1,602010,-4.350000000,-3.800000000,-4.350000000,-3.800000000,308,ESU0-ESZ0
2010-06-21T00:00:00.000000000Z,35,1,26714,1124.500000000,1129.500000000,1103.250000000,1111.500000000,2138861,ESU0
2010-06-22T00:00:00.000000000Z,35,1,3076,1106.000000000,1112.000000000,1086.250000000,1087.500000000,483,ESZ0
2010-06-22T00:00:00.000000000Z,35,1,70248,1104.750000000,1104.750000000,1097.000000000,1100.750000000,12,ESH1
