Date,BMY,CL,CVX,DUK,ED,EPD,GIS,GLD,GPC,IWP,IWY,JNJ,KMB,KO,LMT,MCD,O,PEP,PG,PSA,QQQ,QUAL,RPG,SCHG,SCHM,VBK,VGT,VUG,VZ,WEC,XOM
2010-06-07,22859687021.570206,23866313157.909393,70772734891.20483,16315307111.091614,6651331025.588989,12169929480.433464,12799543787.17041,,3665533559.158325,,,101436421069.25964,12252088803.588867,67618968959.14078,14432156611.385344,40044679889.41193,3367469091.796875,56076104049.87335,103686549318.3136,8301297884.597778,,,,,,,,,45417164211.90262,4448832983.87146,135217704495.69702
2010-06-08,23281241383.571625,24210600176.685333,70445411100.92163,16763015410.739899,6745055631.164551,12235811249.136925,12900839572.93701,,3713492703.5655975,,,102555719566.87927,12409065319.610596,68630582283.22983,14560749881.515503,41022544539.642334,3433255169.6777344,56911821019.55414,106286411044.73114,8455630541.19873,,,,,,,,,46423450690.41252,4530975322.906494,139641447579.5746
2010-06-09,23127946429.471966,24198306777.843475,70217256540.22217,16586020378.349304,6695813570.388794,12334634858.608246,12876798125.808716,,3724895225.1548767,,,101733661507.1106,12431198559.7229,68351076758.50869,14625044758.224487,40950559124.25995,3440058984.375,56766493918.800354,105140445239.79187,8421123390.182495,,,,,,,,,46591133413.75351,4480569495.620728,136882331035.38513
2010-06-10,23606977449.855804,24428853340.816498,73569898749.08447,16908787223.854065,6845139120.08667,12521299551.129341,13021014888.595581,,3834170277.021408,,,102310842674.78943,12521769816.558838,69815238439.48364,14838727224.235535,41616484639.32037,3569360504.1503906,57992826794.052124,105893016855.20172,8723076319.076538,,,,,,,,,47530359220.13283,4614054258.7394705,141123545309.29565
2010-06-11,24028525447.835922,24330482199.68033,73460807570.95337,16835896722.171783,6851490174.362183,12513976272.821426,12931736976.394653,,3875031349.5826726,,,102240915545.04395,12507674830.879211,69332015024.19472,14891677187.423706,41718464269.67621,3610192675.78125,57738479359.2453,104353646482.58209,8826552195.022583,,,,,,,,,47899324849.66277,4639256269.203186,141055148616.71448
2010-06-14,24229733527.307507,24382740264.587402,73579842235.87036,16877550875.648499,6886438588.2873535,12587183232.665062,13079395397.338867,,3876930667.5434113,,,102170925085.06773,12568052437.774658,69144061857.39517,15065647767.162323,41574496941.68091,3657827233.8867188,58001918768.69202,104764102352.25677,8849766132.644653,,,,,,,,,48016733410.97831,4633653848.819733,139937838540.8783
2010-06-15,24555480730.628967,24840760896.194458,74621352477.41699,17085788820.709229,7003991530.807495,12737249705.553055,13106867102.630613,,3947248278.1734467,,,103430183392.56287,12684778139.007568,70043426698.43674,15286893508.853912,42234394190.48309,3746295867.919922,58356216792.67883,105893016855.20172,9054784490.631102,,,,,,,,,48821760265.56015,4724198162.60147,142537309867.8589
2010-06-16,24794990672.30225,24785426915.462494,74343609712.21924,17200315095.36743,7056415549.743652,12799465531.229973,13161802533.218384,,3933945288.3930206,,,103605069824.67651,12644523170.082092,70338763307.24716,15354975884.590149,42168409019.203186,3687318365.4785156,58056431714.43939,104661462439.46075,9061551699.569704,,,,,,,,,48939153305.36842,4780207614.5095825,142537309867.8589
2010-06-17,24775846105.222706,24868430452.674866,74710628476.10474,17398137860.94284,7112017053.085327,12825088875.770569,13367834622.909546,,3950097974.00856,,,103500089412.23145,12704904931.114197,70285086102.56195,15307696033.687592,42024431182.89948,3707733618.1640625,58583288303.56598,105636448207.6645,9075092062.286377,,,,,,,,,48788222168.741234,4851151133.972168,142742499945.60242
2010-06-18,24699191468.648907,24773145491.82129,74908988473.51074,17325253923.72513,7131079163.421631,12744569158.19645,13233916614.608765,,3960550980.3962708,,,103500089412.23145,12634461851.097107,70217946047.74475,15258525363.864899,41922430535.92681,3639679284.6679688,58210873019.599915,104849670206.75659,9073155365.692139,,,,,,,,,48855294482.00226,4832481517.375947,143882645973.12927
2010-06-21,24373439492.311478,24948356363.319397,75107377188.56812,17273196406.799316,7099309352.340698,12733586631.774902,13031318203.079224,,3957700134.3307495,,,103412630363.61694,12616351199.98169,70446175781.8985,15141286385.154724,41946428009.56726,3599983740.234375,58156360073.85254,104507564839.17236,8977419010.20813,,,,,,,,,48737885920.686714,4785806121.116639,143951042665.71045
2010-06-22,24373439492.311478,24880728983.745575,73401311776.7334,16992079776.09253,6959514018.981934,12642087257.027626,12948905367.202759,,3866478811.3861084,,,103465141679.91638,12551948234.664917,70419333032.03583,15101574498.882294,41178533372.45941,3502442797.8515625,57502282529.06799,103857581245.80383,8881678691.497803,,,,,,,,,48737885920.686714,4698061963.8175955,141237566264.19067
2010-06-23,24181833129.97818,24693205895.233154,71675373750.15259,16887956864.883423,6934099176.712036,12576201662.659645,12993548883.300781,,3876930667.5434113,,,103605069824.67651,12543904441.383362,70124013013.30566,15069428232.765198,41172529625.58746,3517186340.3320312,56984517914.5813,104986516505.05066,9011264962.966919,,,,,,,,,49190722014.71329,4644855678.98941,139322173025.5127
2010-06-24,24287222913.73253,24690143665.351868,70256965872.65015,16815076866.34445,6951570867.1875,12700645747.423172,12900839572.93701,,3812315899.2748256,,,104234635648.19336,12455350710.250854,69533393713.44566,14772542700.84381,40632609236.67908,3476353930.6640625,56684743951.22527,104114149893.34106,8816879941.192627,,,,,,,,,48570160513.20076,4735401197.010041,136973516038.58948
2010-06-25,24497994526.2146,24293603713.897705,69493169678.6499,16835896722.171783,6964279127.151489,13044701147.556305,12821858135.223389,,3835122955.356598,,,102660636649.09363,12370825106.964111,67466124549.69406,14759299934.978485,40446619183.34961,3613593511.9628906,55204035853.95812,102266901294.93715,9020935235.183716,,,,,,,,,47882561621.81854,4788608083.957672,134761747718.96362
2010-06-28,24497994526.2146,24358139780.960083,69393993269.65332,17012898319.026947,7011936360.260009,13030055547.356606,12842461344.192505,,3862677587.446213,,,103972321832.58057,12429183803.443909,68566880522.54677,14670431445.732117,40392634500.27466,3554614819.3359375,56285019398.68927,103686549318.3136,8869101392.77649,,,,,,,,,48150878037.500374,4832481517.375947,133325147208.70972
2010-06-29,24229733527.307507,23976977697.887424,67806919446.258545,16815076866.34445,6907091677.703857,12901956040.143967,12670766036.117554,,3790459221.0674286,,,103605069824.67651,12270202224.128723,67560111501.894,14210913214.16855,39870711340.904236,3492400488.28125,55621911011.12366,103173432779.54102,8652477387.054443,,,,,,,,,47999966302.75726,4801675581.230163,130634530579.41437
2010-06-30,24200621311.864853,24210600176.685333,67310972786.56006,16658903002.674103,6846725066.192627,12945878494.501114,12196905909.820557,,3748650646.2078094,,,103290202472.61047,12201776669.815063,67278225300.655365,14087998261.985779,39516759988.708496,3455938916.015625,55367541346.54999,102591872335.31952,8501614535.095215,,,,,,,,,46993660422.36328,4736336288.509369,130132862198.41002
