p,window,step,refit_every,start_date,end_date,duration,cumulative_return,annual_return,annual_volatility,sharpe,max_drawdown
2,360,12,48,2020-10-30,2025-10-30,1826,1.8107116391653584,0.23040795030114714,0.1466326667646817,1.5713275587554394,-0.11949090112415295
2,360,12,24,2020-10-30,2025-10-30,1826,1.7912237723922568,0.2286915645851091,0.14749920778705783,1.5504596127408856,-0.11949090112415339
2,360,12,120,2020-10-30,2025-10-30,1826,1.7596957095407988,0.22589434873204173,0.14657977489596222,1.5411017576768318,-0.11949090112415317
2,360,12,96,2020-10-30,2025-10-30,1826,1.7468340158180098,0.2247459005703174,0.1472313890852854,1.5264808813298016,-0.11949090112415317
2,360,12,12,2020-10-30,2025-10-30,1826,1.6123048413030316,0.21246829597909378,0.1479556874494035,1.4360265539082553,-0.12301257866537485
2,480,12,120,2020-11-06,2025-10-30,1819,1.5696470812689225,0.20938462249214607,0.1474811677586942,1.4197380294325923,-0.1273169820104404
2,480,12,96,2020-11-06,2025-10-30,1819,1.505746916700101,0.2032654625816599,0.14689281034470397,1.3837672661083265,-0.12802406892676854
2,480,12,48,2020-11-06,2025-10-30,1819,1.4550900198740866,0.19832531014045185,0.14796565583123777,1.3403469137909392,-0.11949090112415339
2,480,12,12,2020-11-06,2025-10-30,1819,1.428643306619516,0.19571376039471766,0.14707757067446667,1.3306839343158559,-0.12202696463749807
2,480,12,24,2020-11-06,2025-10-30,1819,1.404016471115077,0.19326141936973662,0.14804100029401487,1.3054587511967113,-0.12202696463749729
2,36,12,120,2020-10-12,2025-10-30,1844,1.5061055650496824,0.19997314482904227,0.15726359286567743,1.271579398544227,-0.17413546860046025
2,240,12,120,2020-10-22,2025-10-30,1834,1.1979452074657875,0.1702939708560245,0.14693763382951633,1.1589540842450698,-0.12519541717684024
2,240,12,24,2020-10-22,2025-10-30,1834,1.1766629107612165,0.16802239583703482,0.14880382074192425,1.1291537744077287,-0.15519053380964143
2,240,12,96,2020-10-22,2025-10-30,1834,1.1847886652993629,0.16889179071543392,0.1507787282858739,1.12013009152868,-0.16925816253606807
2,36,12,96,2020-10-12,2025-10-30,1844,1.1708976428236149,0.16626630568778156,0.1580772650159294,1.051804038177324,-0.17413546860046014
2,240,12,12,2020-10-22,2025-10-30,1834,1.05812352910805,0.15503443094621994,0.14880013236993112,1.0418971305804337,-0.1551767789921087
2,36,12,12,2020-10-12,2025-10-30,1844,1.1220215502337334,0.16100847888117942,0.15578929444417794,1.0335015602684534,-0.18888671165779303
2,36,12,24,2020-10-12,2025-10-30,1844,1.0849384597494187,0.15695412561023603,0.15605306506445676,1.005774065029784,-0.18972035099069018
2,240,12,48,2020-10-22,2025-10-30,1834,1.0166342999405202,0.1503470315874924,0.1495338795627325,1.0054379116434198,-0.15519053380963954
2,36,12,48,2020-10-12,2025-10-30,1844,1.0768372679508227,0.1560607254842259,0.15737844712292745,0.9916270514623118,-0.1846169087505598
2,120,12,96,2020-10-15,2025-10-30,1841,0.9415334510122149,0.14106552272240136,0.15561333814362663,0.9065130560479459,-0.1779896815929216
2,120,12,24,2020-10-15,2025-10-30,1841,0.9154634701874531,0.13800159290964942,0.1523792143043549,0.9056457833810043,-0.19661921998314735
2,120,12,48,2020-10-15,2025-10-30,1841,0.905721733544939,0.13684809759975103,0.15414713408133732,0.8877758150699171,-0.1852729057237058
2,72,12,120,2020-10-13,2025-10-30,1843,0.8674766571462595,0.13205174182621926,0.1497737026718637,0.8816750836128345,-0.2001997414342096
2,120,12,12,2020-10-15,2025-10-30,1841,0.8569267929912134,0.13099828323851215,0.15250938146217913,0.8589522951478133,-0.19661921998314724
2,120,12,120,2020-10-15,2025-10-30,1841,0.81196432029532,0.1254978769238615,0.15298165360354585,0.8203459301668359,-0.18012690003246568
2,36,6,96,2020-01-27,2025-10-30,2103,1.2452513741340359,0.15092607502948518,0.19040248460582856,0.7926686216407969,-0.33057711603347006
2,240,6,96,2020-02-07,2025-10-30,2092,1.260243394488613,0.15327838296736895,0.1941980536701476,0.7892889762310276,-0.3498053473030366
2,72,6,24,2020-01-29,2025-10-30,2101,1.2396584953498362,0.1506499998920927,0.19392684931394386,0.7768393104154896,-0.33057711603347006
2,72,12,96,2020-10-13,2025-10-30,1843,0.7453715549962368,0.11695191066305188,0.15206252504689585,0.7691040946938379,-0.20080416715972416
2,240,6,24,2020-02-07,2025-10-30,2092,1.2329654332808748,0.1508321357598803,0.19672055000843772,0.7667329913087922,-0.3498053473030366
2,480,6,120,2020-02-24,2025-10-30,2075,1.1242271494623615,0.1418795467973757,0.18896943603451835,0.7508068488464932,-0.30999794291289506
2,72,6,120,2020-01-29,2025-10-30,2101,1.1371119261553537,0.14130278785188555,0.19277209193509695,0.7330043806312989,-0.33057711603347006
2,72,6,48,2020-01-29,2025-10-30,2101,1.1432464099145445,0.1418722559096448,0.19394987864700772,0.7314892739265636,-0.33057711603347006
